Feature,001_FC_S002_SOURCE_Female_Control,002_FC_S004_SOURCE_Female_Control,003_FC_S006_SOURCE_Male_Control,004_FC_S007_SOURCE_Female_CD,005_FC_S011_SOURCE_Female_CD,006_FC_S012_SOURCE_Male_Control,007_FC_S014_SOURCE_Female_Control,008_FC_S015_SOURCE_Male_Control,009_FC_S016_SOURCE_Female_CD,010_FC_S018_SOURCE_Female_Control,011_FC_S020_SOURCE_Male_CD,012_FC_S022_SOURCE_Female_Control,013_FC_S024_SOURCE_Male_CD,014_FC_S025_SOURCE_Male_CD,015_FC_S026_SOURCE_Male_Control,016_FC_S028_SOURCE_Female_Control,017_FC_S030_SOURCE_Female_Control,018_FC_S031_SOURCE_Male_Control,019_FC_S032_SOURCE_Female_Control,020_FC_S033_SOURCE_Male_CD,021_FC_S035_SOURCE_Male_CD,022_FC_S036_SOURCE_Male_CD,023_FC_S040_SOURCE_Male_CD,024_FC_S041_SOURCE_Male_Control,025_FC_S042_SOURCE_Female_CD,026_FC_S044_SOURCE_Male_Control,027_FC_S045_SOURCE_Female_CD,028_FC_S047_SOURCE_Female_Control,029_FC_S050_SOURCE_Female_Control,030_FC_S051_SOURCE_Male_Control,031_FC_S052_SOURCE_Male_CD,032_FC_S056_SOURCE_Male_CD,033_FC_S057_SOURCE_Male_Control,034_FC_S060_SOURCE_Male_CD,035_FC_S061_SOURCE_Female_Control,036_FC_S062_SOURCE_Control,037_FC_S063_SOURCE_Female_CD
Bilirubin,0,0,0.009594576230898159,0,0.05072760870467911,0.023261639569580297,0,0.003068000822540143,0,0,0,0.0018088326291420369,0,0.011717739049118764,0,0,0,0,0,0,0,0.050315836819218245,0,0,0,0.03971454750972107,0.012181405987084068,0,0,0,0,0,0,0,0,0,0
Biotin,0.007296629711851205,0.0030839475181975453,0.004666937290214574,0.005923158082407299,0.0016776072388645985,0.004510786579353607,0.003499851510460785,0.0040299311473032005,0.008679242208362381,0.019928946705623937,0.006833276793709431,0.00980614346870715,0.0038166824749257915,0.00442662608092341,0.003584737423112381,0.011237562430430597,0.03343839567398094,0.013306182619330066,0.009506339823726501,0.006177179814505943,0.016293570855474768,0.003908457890666642,0.006950816546744983,0.0043206578294506855,0.006531943452136579,0.003336074140805106,0.006164847571899119,0.013289861818233877,0.005220743245698866,0.008805206749294876,0.005408654425314284,0.011637585003116537,0.006255550297772495,0.0060695054940933186,0.017501560545685753,0.004180573265489293,0.007034606248205856
Bis(2-Ethylhexyl)Phthalate,2.4614477630207587,1.4499604488417859,2.1467663820039324,2.599438271281726,3.418340323045882,1.9666579996295956,0.9927434653760604,3.971675406771754,2.3417536078648675,1.527907488348975,8.234676247826044,1.154002094479515,9.92641963709083,9.488017198231882,8.755797893985292,5.727775294553279,0.8217614706727137,0.07238011238674329,4.414663660946384,9.90217391389242,0.5511579853234819,2.9968316930995,2.9796248524153865,6.422674015302353,3.2137502281750363,2.723681689393626,14.819135675168074,0.7278871825671571,1.4080770849516018,2.2310848895925797,13.922464198090296,3.5763435560897885,4.582133465320972,5.604617548821227,1.455591053825653,0.017457650294608343,3.826266948554142
Buthionine-sulfoximine,0.019604943653190633,0.013971124227900937,0.033885039504376824,0.028951364109444953,0.004693369129399482,0.006993107418963553,0.01588050874680954,0.016637327094127376,0.016694966227478198,0.009248223577358118,0.00839988666923314,0.016232374522416722,0.005872274126355729,0.006669327444159871,0.010993389289170609,0.0126919089668832,0.026218627638596812,0.024699602409288056,0.016270752423385184,0.01655780010240285,0.021683545943956863,0.021715198018437937,0.03547421605612003,0.005958502220055983,0.01428855839914917,0.025856712354265367,0.0119447402485932,0.031131007924814647,0.020352595557559555,0.017945927823720106,0.010670332227173094,0.008853982049698414,0.012452614757063506,0.015135654896262117,0.08458211568946505,0.005064345099025932,0.014791976888410326
Butyric acid,4.346660645103132,7.565011037435404,3.655879383214617,3.2072671207854135,1.7825582588538698,2.395822774972495,3.485883304559121,7.095031794621385,7.702684407661238,9.759657134880273,1.996285150988132,3.5423482014086383,3.1450373328291157,12.075658252295122,11.379376324313016,1.314627944111325,2.2479590644022167,6.567768701220049,6.195163369504869,6.201619229576954,1.6482520385181345,3.219736529776322,5.131576134715388,0.9232593896997132,5.197236697126816,2.9994975566739934,2.406526306223875,8.299274418055436,7.3447248523412085,7.924618460301513,8.1397083992772,2.374563243998355,11.197185299058992,4.1039276040548875,1.2811884390815655,0.5095355158965059,2.1796527582798078
Butyryl-carnitine,0.0096921153131581,0.0032156753847858034,0.018089604403486573,0.004018903589432222,0.050528947105891626,0.00402459712531775,0.007976860427428638,0.0073981640165140675,0.00316507835856379,0.020698185458112136,0.0037333845408221776,0.004980179630840091,0.0028040159535726006,0.0025846617366543237,0.06802750098630317,0.00681453015784511,0.03480333960912862,0.013189696808784505,0.00673735949684167,0.0032890599221807927,0.016460076484598518,0.03905591941263478,0.0022339437113088638,0.002354350170451495,0.004469106334048003,0.03401597443499772,0.007421010342423135,0.024925882053360427,0.0043570077177326,0.009466883459776811,0.006138193525297502,0.008429648561353314,0.03792116701916775,0.007188464462901401,0.014203252137891711,0.1382122652827329,0.0038328539225209787
Caffeate,0.006705393546769304,0.004166563414984535,0.015627977311935864,0.003153468493876893,0.06611067639362518,0.07745375553727343,0.007991752399174715,0.00893267310878785,0.002421315789826522,0.001654393569852487,0.001237474075356469,0.0049927665252355626,0.01043803232855643,0.002042413752781169,8.932904171163816e-4,0.0018161484566847138,0.0017480811298578765,0.008675336561234582,0.004234687287943119,0.0015046550402192046,0.00329760301272445,8.944718995297689e-4,6.486493434785771e-4,0.007181257879733064,5.443321784822395e-4,0.004781431712926167,8.389686227373155e-4,0.004797096981027945,0.0011115827531662079,0.0056657370286330245,9.881816938498978e-4,0.002943720940564749,7.516480642497527e-4,9.468294566646334e-4,0.002435705311670311,6.747110846154324e-4,0.0031206779432162678
Caffeine,0.0064711173686199455,0,0.009395896619863875,0.005810139909582467,0,0,0.008396045133556306,0,0,0,0,0.007437163196799859,0,0,0.006587094739604577,0,0.008171746317681673,0,0.005431958301179585,0,0,0.005599114843406196,0,0,0,0.021687170437294904,0.008211480659753335,0.015978247433526774,0,0,0.004853063165816303,0,0.005409737956796233,0.008274109333863421,0.0015816404121592018,0,0.007562521980444588
Carnitine,0.07651740710445046,0.0692554659927883,0.1569584773495006,0.0697207940843076,0.3225213751122386,0.4708312583858989,4.662885973736041,0.4434394871638366,0.31370297636728306,0.0425651688592343,0.25369457127140843,0.24410333127396466,0.3195948062486264,0.13753782668207054,0.18814619027020527,0.21858636324914604,0.339957303854669,0.07541471304013886,0.25690558336874636,0.07537806207456525,0.18246905208219394,0.8445616589644045,0.17043213925631467,0.7927988237638841,0.1049136470468952,0.49560663651940984,0.11483226325131439,0.08360676987590404,0.09479209857829034,0.09763553483468866,0.1433714586034037,0.5767256725586236,0.3041396999849707,0.12648573799335266,0.11479820857662405,1.4814511213698525,0.13551903722386963
Carnosine,0.002698754114975597,0.00481716214040491,0.01412573427134673,0.0015738086370371846,0.014779008840334895,0.0018540019190201927,0.02990521222810592,0.061441266904037006,8.703793129116347e-4,0.002347269262574403,0.013249676620825246,7.370343528441866e-4,0.0028258531797199812,0.001352143526981915,0.008227358847537992,6.8868012459437e-4,9.63233147774129e-4,0,0.0015784776940208905,0.018603769746070527,0.0025525291245917583,0.04494897096095187,0.001051868773362508,0.02559655593760954,4.907250648969559e-4,0,0.0015079968468561958,0.003412441860271632,6.502394027607108e-4,0.0012039709807174592,0.0014498016513827391,0.0020810800113406957,0.002115181957471805,0.0013226111675401443,0.001381062265714983,0.008783016035144742,0.004975139194695364
