	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0.0	0.0011099999999999999	0.0	0.0	0.05095	0.0	0.0	0.00352	0.0	0.0	0.00274	0.0	0.0	0.0	0.0023	0.0	0.0	0.00534	0.0	0.0	0.0014199999999999998	0.0	0.93519	0.0	0.00303	0.52046	0.0	0.00778	0.00477	0.00234	0.0	0.0	0.0	0.0	0.00717	1.50775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7188399999999999	0.1249	0.0	0.0	0.00158	0.07392	0.0	0.39494	0.36373	8.42579	0.18706	0.00216	0.00727	0.004370000000000001	0.13913	0.30162	0.49751000000000006	0.48778999999999995	0.00396	0.45524	0.9774799999999999	0.004070000000000001	0.0002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05441	0.0	0.0	0.0	0.0	0.0	0.0	0.0041600000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.00409	0.0	0.0	0.0	0.0	0.0	0.00662	0.0	0.0	0.00011999999999999999	0.0	0.00023999999999999998	0.0	0.014209999999999999	0.00385	0.022940000000000002	0.018580000000000003	0.036969999999999996	0.016309999999999998	0.0	0.06261	0.00264	0.0020800000000000003	0.01051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes	0.0	0.21891	0.0	0.0	0.32971	0.02423	0.24308000000000002	0.0	0.0	0.11569000000000002	0.29225999999999996	0.0	0.02295	0.40857	0.0	0.0	0.0	0.59534	0.0	0.0	0.0	0.0	0.0	0.44356	0.10502	0.0	0.00494	0.0	0.0	0.03775	0.0	0.00062	0.0	0.0	0.0	0.0	0.0	5.9999999999999995e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.0	0.01329	0.0	0.0	0.0	0.0	0.0	0.01227	0.0	0.0	0.0	0.00587	0.00777	0.0	0.02332	0.0	0.02196	0.0	0.12645	0.0022	0.02545	0.0	0.00033999999999999997	0.0	0.0	0.0396	0.00173	0.0	0.06838999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008300000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051879999999999996	0.00491	0.0	0.0	0.0	0.0	0.01213	0.0	0.0	0.0	0.020030000000000003	0.02611	0.0	0.0	0.0	0.00782	0.0	0.04757	0.0	0.005379999999999999	0.01204	0.013890000000000001	0.00274	0.00207	0.17923	0.0	0.006840000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26966	0.0	0.0	0.0	0.0	0.0	0.0015300000000000001	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17168	0.00022	0.0	0.0	0.0	0.0	0.0009599999999999999	0.0	0.0	0.00056	0.0	0.09792999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00611	0.00898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.03352	0.0	0.29778000000000004	0.0	0.10269	0.0	0.006659999999999999	0.01348	0.0	0.07235	0.01149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01081	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30701	0.0	0.0	0.19255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12309	0.37073	0.0	0.0	0.09949	0.0	0.0	0.27774	0.0	0.0	0.08717000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0949	0.57345	0.0	0.0	0.0	0.0	0.0	0.67965	0.0	0.0	0.0	0.0	0.25706999999999997	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0.0	0.0	0.0	0.0	0.0	0.03259	0.0	0.0	0.0111	0.0	0.0	0.0	0.0	0.0	0.0	0.02683	0.05391	0.0	0.0	0.0	0.038810000000000004	0.0	0.014730000000000002	0.0	0.0	0.0	0.0	0.06286	0.0	0.0	0.00539	0.05269	0.0	0.02217	0.0	0.0011300000000000001	0.0	0.0	0.0015300000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09564	0.0	0.0	0.06949	0.0	0.03259	0.0	0.0	0.0	0.0	0.0	0.00106	0.006370000000000001	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58	0.0	0.0	0.0	0.0	0.0	0.0	0.041260000000000005	0.0	0.0	0.0	0.0	0.0	0.0001	0.04542	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00677	0.03259	0.0	0.0	0.00907	0.0	0.0	0.0	0.00415	0.0	0.0	0.0	0.0006	0.0	0.033389999999999996	0.00796	0.03606	0.013269999999999999	0.02247	0.06817999999999999	0.0	0.03281	0.00624	0.07122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.0	0.0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_ihumii	0.0	0.0	0.023209999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08815	0.0	0.0	0.0	0.0	0.23133	0.0	0.0	0.64571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06707	0.0	0.0	0.33574	0.0	0.0	0.01206	0.0	0.0	0.09741	0.0	0.0	0.0	0.0	0.0
